SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000377,9,5.5,8,8.25,5.5,8.6
19000384,9,8.25,9.25,8.75,7,8.4
19000385,9,8,7.25,9.25,9.75,8.8
19000387,9.2,7.5,8,8.5,8.25,6.4
19000388,9.2,6.75,9,5.75,4.75,9.8
19000389,6.4,6.5,6.5,5,5.25,8.2
19000391,9,6.25,8.5,8.75,3.75,6
19000392,9.2,7,9,8.75,5.25,6.6
19000394,8.8,7,7.75,4.5,5.25,9.8
19000396,9.2,6.75,8.25,8.5,6,8.6
19000400,9.4,6.5,9,9.5,5.75,7.8
19000401,7.6,6.75,7.25,4,4,9.8
19000405,9.2,7.75,9.25,9.25,7,8.6
19000406,9.2,7.25,9.25,5.75,6.5,9.2
19000407,9,6.5,8.75,9.25,4.25,9.2
19000408,8.6,7.5,8.25,5,4.75,8.6
19000409,9,6.75,7.75,9.5,5.5,8.2
19000410,8.8,6,8.5,9.25,2.75,5.4
19000414,8.8,6.5,8,5.5,7.25,9.2
19000416,8.2,8,7.25,7.75,4.5,8
19000417,8.8,5.5,7,4.75,3.25,9.6
19000420,8.2,6.25,6.5,5,2.75,9.4
19000421,7,6.75,4.75,5,4.25,8.4
19000428,8.4,6,8.25,3.25,3,9.6
19000429,8.6,5,7.25,3.5,3.5,9.4
19000431,9,5.25,8,3.5,3.25,9.4
19000433,8.8,5,8.75,3.25,4.5,9.2
19000434,9,8,8,5.25,3.25,9.6
19000435,8.8,5,7.25,7.75,3,5.6
19000436,9,8.5,7.75,5,3.5,9.8
19000438,8.6,6.5,8.25,8.75,3.25,7.8
19000439,8.6,7.25,8.5,7.75,3.5,6
19000440,8.6,7.25,8.75,9.25,3.75,9.2
19000442,8.2,7,8.5,6.25,6.25,9.8
19000443,8,5,6,4.25,6,8
19000444,8.6,5.75,8.25,5.5,5,8.8
19000445,9,6.25,8.5,9.75,5,6.2
19000448,9.2,6.5,6.75,4.5,4.25,9.2
19000450,8.2,6.25,8.5,9.75,3.75,8
19000455,7.8,7.25,8.25,6.5,5,6.8
19000457,7.4,6.5,8.25,9,5.75,6
19000459,9,7.75,8.25,9.25,5.75,7.2
19000461,9.2,6.5,8.25,4,5.75,9.8
19000462,6,4.5,3.25,3,5.25,3.2
19000467,7.2,7.75,8.25,7.25,4.75,5.8
19000468,8.4,6,7.25,8.5,2.5,5.8
19000469,9.2,6.25,5.5,9,8,5.6
19000472,8.6,7.75,9,9.25,2.75,6.2
19000473,9.2,7.25,8.25,8.75,5.75,7.8
19000474,9,6.5,8.75,5,5,9.4
19000475,7.8,6.5,6.75,2.25,4,9.6
19000476,8.4,8,7.75,6,5,9.2
19000478,8,4.25,5.75,4.5,3.75,9.6
19000481,7.8,8.25,4.75,7.75,7.75,8.6
19000482,8.4,8,8,6.75,7.75,9.6
19000490,8,8,7.5,4.75,4.25,7.8
19000494,7.6,7,8.25,5,3.75,9.4
19000495,8.2,6.75,7.75,6.5,4.25,5.6
19000497,9,6.5,4.25,8.5,8.5,6
19000498,9.2,7.5,7.25,8.5,4.25,8.2
19000499,8,6.25,6.75,4.5,3.5,9.2
19000501,8.4,7,7.25,4,3.75,10
19000502,8.6,6.75,7.5,6,4.5,9.6
19000503,7.4,6.75,4.75,5.25,3.25,8.2
19000504,5.8,5.5,3.5,8,6.5,8.8
19000512,8.8,6,5.25,4.25,3.75,8.6
19000513,8.8,7,7.5,4.75,5.5,8.8
19000514,9,6.25,3.5,7.5,8.25,7.6
19000515,8.2,6.25,6.25,3,3.75,8.6
19000516,8,8,7,6,5,9
19000518,6.2,6.25,4.5,6.5,3.75,7.8
19000519,9.2,5.5,8.5,10,6.75,7.2
19000520,8.8,6.25,8.5,9.75,5.5,7.2
19000524,9,6.75,7.25,3.5,5.25,9
19000528,3.8,5,1.75,4.25,3.5,6.6
19000530,9.2,5,9.25,9.5,6.75,8.8
19000531,8.4,4.5,7.5,6.75,4.5,4.8
19000532,9,7.5,7.75,4.25,5,9
19000533,8.4,6.5,8.75,3.5,1.75,9.4
19000534,8.2,6,7.25,2.75,3,8.8
19000535,7.2,7.75,6.25,6.25,4.25,8
19000536,7.4,6.5,7,6.25,6,9.4
19000537,8,6.75,6.5,4,2,9.4
