SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19004644,7.4,6,6.5,7,4.75,6.6
19004646,7.8,7.75,6.5,6.75,5.5,4.2
19004649,8.2,4,7.5,8.5,6,8.8
19004660,8.8,7.75,7.75,7.75,6.5,5.4
19004661,6.6,8.25,7.25,6.25,5.25,4
19004662,5.2,7.5,3.75,5,4.5,4.6
19004669,7.8,7,6,7.5,7,5.8
19004672,8.2,8,7.75,8.25,6.25,9.4
19004673,5,6.75,4.5,3.25,4,5.4
19004678,8.2,7.25,8.75,8,7.5,8
19004680,4.6,6,4.25,4,5,5.2
19004687,8.6,6.5,7.5,7.25,6.75,4.4
19004690,7.6,8.75,7.25,7.5,7.25,8.2
19004707,8.8,6.5,7.75,7.25,5,3.2
19004710,8.4,7.75,8.25,8,5.75,5
19004712,7.8,7.25,7.5,7.75,5.25,6.4
19004715,9,7,8.75,8.5,5.5,9.6
19004717,7.8,7.5,7.5,7.25,6.5,4.2
19004718,8.6,7,6.75,7.25,6,5.4
19004724,6.8,8,6.75,5.25,6.5,7.2
19004725,7.8,7.75,6.5,7.75,6.25,5.4
19004738,8.2,6,6.75,7,6.5,3
19004739,8.6,7.75,6.75,7.75,6.25,6.8
19004743,8.4,8,7.75,6,5.75,3
19004751,8.8,5.5,8.5,8.75,6.75,4.6
19004757,7.2,8,6.25,6.75,4.75,4.4
19004759,6.8,7,6,7.5,5.5,6
19004762,7.8,5,6.5,6.25,4,3.6
19004769,7.2,7.25,4,5.25,5.75,2.8
19004771,8,7.25,6.75,4.75,5.25,7.6
19004774,8.2,6.75,5.25,7.5,5.25,3
19004775,6.2,7.5,5.75,3.5,7,2.4
19004778,8,6.5,7.75,7.75,6.25,3.6
19004779,7.8,5.25,4.75,4.5,2,3.8
19004781,7.8,7.5,6,5.5,4.75,4.8
19004786,7.4,6.5,8.25,8.25,5.75,4.6
19004787,8.2,6.75,5.25,4.5,4.5,3.4
19004789,7.6,8,5.5,7.5,4.75,5.2
19004790,6,6.25,5.25,4.75,4.75,5.2
19004792,7.8,6,4.5,4.5,6,2.4
19004793,7,8.25,7.25,8,8.75,5
19004794,5.4,8,4.25,4.5,5.75,3.8
19004796,7.8,7,7.25,8,8,6.8
19004798,7.2,7.5,6.25,6.5,5.25,2.6
19004801,7.2,8,5.75,7.75,7,5.6
19004803,7.6,7.25,7,6,5.75,4.4
19004804,8.2,7.5,6.75,8,6.25,4.4
19004809,6.8,7.75,5.75,6.5,4.75,5
19004810,8,8.5,7.75,6.5,5.75,4.2
19004824,6.6,6.5,6.5,5.75,4.5,2
19004826,9.2,8,9,8,7.5,8.6
19004828,7.8,6.25,6.5,8,5.5,5
19004829,7,6,4.5,5.5,5,5.6
19004831,7.4,7,6.25,7.5,5.5,4.2
19004835,5,6.75,4.75,3.25,3.5,3
19004837,7,7.75,5.75,6.5,5.5,3.8
19004839,8,8,6.25,7.25,5.5,4.6
19004840,7.8,6.5,7.75,7.5,5.75,6
19004842,8.4,7,7,8,6,5
19004847,8.6,7.75,6.5,8,7,5.2
19004851,6.4,6.5,7,5,6.25,3.4
19004852,8.4,6.5,8.25,8,6.5,5.6
19004855,7.8,8.25,7,7.75,4.25,7
19004858,9.2,7,8.5,8.25,7.5,4.6
19004859,7.4,5.75,5.25,3,6,2.6
19004861,8.4,6.75,7,7,5,3.6
19004865,7.2,6,6.25,5.25,4.75,4
19004870,8.8,6.75,9.25,8,8.25,2.8
19004871,7.2,6,6,7,6.25,3.2
19004872,8,6.25,7.25,7.5,6,3.2
19004874,7.4,5.75,6.25,6.75,4.75,4.2
19004875,9.2,7,8.5,9,5.75,7.4
19004876,7.6,7.75,7.25,7.75,6.25,5.6
19004877,7.4,6.5,6,7.25,4.25,8
19004878,8.4,8.25,7.5,8,7.25,9.2
19004882,5.6,8.25,5,5.75,5,3.8
19004885,7.4,5.25,4.25,6.5,4.75,4.6
19004886,7.4,6.75,6.75,5.5,4.25,3.8
19004888,6.4,4.5,4.75,3.25,3,3.6
19004890,6.8,7,3.75,5.5,4.25,4.2
19004893,7,7.75,4.5,4.25,4.75,3.8
19004895,7.8,7.5,3,4.25,3.25,2.2
19004917,8.4,7,4.5,5.5,3.75,2.8
19004974,7.4,5,5.75,6.5,5.75,3.4
19005048,7.4,5.75,5.25,4.75,4.5,3.4
19005049,7.4,6,4.25,5.5,5.25,3.6
19005053,8.2,6.5,5.25,7.5,5,3.6
19005104,6.4,5,2.75,6.25,2.75,3.6
19005114,7.6,3,3.75,5.75,4.5,3.4
19005157,7.8,6.5,6.5,8.25,5.25,3.6
19005188,5.2,5.25,3.5,5.5,2,3.2
19005201,8,6.5,5.25,8.25,5,4
19005211,7.6,4,6,7.5,4.75,3.2
19005238,7.6,6,2.5,3.25,4.5,3.2
19005249,8,6.75,3,6.75,5.25,3.2
19005250,7.8,5.75,5,7.5,6.5,3.4
19005278,8,4.75,6.75,8.25,5,4.6
19005285,9,6.5,6.75,7.75,6.25,5.4
19005297,7,6.25,4.5,5.25,3.75,3.8
19005332,7.8,6.5,2,3.25,1.25,2.6
19005350,7.6,6.25,3.5,5.5,5.25,3.2
19005361,7.4,5.5,5.5,6.25,5.5,4.4
19005396,7.2,5.75,2.5,4,5.75,2.4
19005419,8,8,7.5,8.75,6.75,4.8
19005423,5.8,3.75,1.75,5.75,2.75,3
19005447,9.2,4.5,7,8,4.5,8.2
19005451,8.2,4.5,8.5,6,7,9.6
19005453,9.2,7.5,8.75,9,7.25,7.8
19005456,7.8,7.5,4.75,8,7.5,7.4
19005457,8.4,8,7.75,7.5,5.25,7.6
19005458,9.2,7.5,6.25,8.75,8.5,5.2
19005460,7.2,6,6.5,3.5,4.75,3.6
19005461,8.4,7.75,6.25,8.75,9.5,7.6
19005463,8.8,8,8.25,7.75,4.75,9.2
19005464,8.6,7,6.75,7.5,4.75,8.4
19005466,7.8,6.5,8.5,7.5,5,6.2
19005468,7.6,5.75,7.75,3.5,4.25,8.8
19005469,7,6.5,7,3.25,4,8.4
19005470,8.2,8,5,7.25,4.75,6.4
19005471,8.4,6,7.25,4,5.75,10
19005472,8.6,8.75,8.25,7.75,5,9.8
19005473,8.4,8.25,7.75,7.25,7,7.6
19005474,7.8,5.75,7.25,3.75,6.75,9.8
19005475,8.2,5.25,7.75,5,5,10
19005477,9,8.75,6,6.25,4.25,10
19005478,8,5.25,8,8.25,7.5,9
19005483,8.4,5.75,6.75,7,7,10
19005484,8.6,8,6.5,6.75,6.75,9.8
19005485,9.2,8,7.25,9,4.25,9.4
19005486,7.6,8.75,5.75,3,3.5,9.6
19005488,7.6,4.25,7.25,4,5.75,8
19005490,8.2,6.75,6.25,3.5,6.25,9.2
19005491,7.6,7,5.75,8.25,3,3.4
19005492,9,5.5,7.25,8.25,4.5,9
19005494,8.8,7.25,8.5,7.25,5,4.2
19005495,8.2,6.5,6.5,7.75,4.5,6.6
19005497,8.4,4.75,7.5,7.75,4,6.2
19005499,8,6.5,7.5,6.75,6.25,8.2
19005500,8.4,6.5,8,6,7.5,8.6
19005501,8.8,5,7.75,7.25,3.75,4
19005503,8.4,7.25,7.75,6.75,4.25,8.8
19005504,6,5.75,4,2.75,3.75,8.2
19005510,7.6,5,5,6.25,4,9
19005511,9.2,5,7.75,8.75,4.25,9.2
19005512,8.8,6,7.5,8.5,4.75,7.6
19005513,8.6,6.25,8.25,7.5,7.5,9.2
19005514,7.4,7.5,6.75,4,5.5,8
19005516,7.2,7.25,8,5.5,5,9.2
19005518,8.6,5,8,7,6.25,8.8
19005519,8,5,8,4.5,5,9.2
19005520,8.4,7.25,7.75,4.75,4,9.4
19005522,9,5.5,9,6.25,6.5,9.2
19005523,8.8,6,8,8,3.25,7.6
19005527,8.4,8.5,3,3.75,4.5,9.4
19005529,9,7.75,8.75,9,6.25,8.2
19005532,8.8,6.25,4.5,8,8.5,7.8
19005533,8.2,7.25,8.75,7.75,5.25,6
19005534,9.6,6.5,9.5,9,5.25,5
19005535,8.4,6.5,8,5.75,6,9.8
19005539,8.6,6.75,7.75,4.5,5.75,9.2
19005540,6.6,7,6.5,6,4.25,8.8
19005541,8.2,7,7.25,4,3.75,9.2
19005542,9,6.75,8.25,8.5,5,4.2
19005544,6,7.75,4.25,2,4.5,8.4
19005546,9,7.75,8.25,5.75,4.5,9
19005547,8.8,7.5,8.5,8,5.5,6.6
19005548,8.2,6.75,7.75,4.75,4.25,8
19005549,8.8,7.75,8.5,4.5,6,9.2
19005550,9,8.5,7.75,6.75,6.25,8.2
19005554,9.6,6.75,9,9.25,6.75,7.4
19005555,9,7.75,9,9,6,9.2
19005557,8.2,7,7.5,8,3,3.2
19005558,7.6,7.5,5.5,5,4.5,7.2
19005559,9,6.75,9,8.5,8,9.4
19005560,8.8,6.75,8.25,4,3.25,9.8
19005561,7.6,7.75,7.25,6.75,5,6
19005562,8.4,5,8.5,4,4.5,8.8
19005563,8,6.75,7.75,7.75,3.25,6
19005565,9.2,6,7.75,7.5,5,9.8
19005566,8,7,8,5.75,4.5,9.8
19005567,8.8,6,8.25,9.25,5.5,9.6
19005569,8.2,6.25,5.75,4,2.5,6.6
19005570,7.8,4,7.5,8.5,4.75,7.4
19005571,8.6,7,8,5.25,6.5,9.4
19005572,9,6.5,7.5,4.5,5,9.2
19005574,8.2,8,6.75,3,5,8.2
19005575,6.8,5.25,6.75,5.5,4.25,8.8
19005581,8.2,7.5,7.75,8,5,7.2
19005583,8.4,7.5,6,5.25,4.5,9.4
19005584,8.4,7,8,7.5,2.25,9.6
19005586,8.2,7,8,7.25,4.75,9.2
19005587,7.6,8,7.5,3,4.5,8
19005588,8.8,6.5,7.75,4.75,4.5,9
19005589,7.8,4.5,6.75,5.25,5.5,8.2
19005590,7.6,5.25,3.5,6.5,4,9.2
19005591,9,6,7.75,4.75,5,9.4
19005592,9,7.25,8,8.75,3,5.8
19005593,9.2,5.5,8,6.25,6,9.6
19005595,9.2,6.5,8.75,8.75,5.75,9.4
19005596,9,8.25,8.25,5.75,6.75,9.6
19005597,7.6,6.5,6.25,3.5,4.25,8.6
19005598,9.4,5,5.75,9.25,9,5.8
19005599,9.2,6,8.25,3.5,3.75,9.4
19005600,9.6,8,6.25,9,9.25,8
19005601,8.2,6.75,5.75,8.25,2.5,5.4
19005602,9,7.5,8.75,4.75,4.75,9.6
19005603,2.8,4,2.5,1.75,2.25,4.4
19005604,9.4,6.5,8.5,9,5,6.8
19005606,8,5.25,7.5,7.75,4,9.6
19005607,8,5.5,7.25,3.5,6,9.2
19005608,8,7.25,8,8.25,6.5,7.8
19005609,8.6,6.5,8.25,8.75,5.75,7.2
19005611,7.8,7.5,6,5.5,4.5,9.8
19005612,8.8,6.5,8.25,8.25,5.5,7.6
19005613,8,6.5,4,4,2.75,9.8
19005614,9,7,8.5,5.75,7.5,9.8
19005615,8.6,7.5,8,6.25,2.5,7
19005616,8.4,6.75,7.5,8.5,5.5,7.4
19005618,8.4,6.75,7.5,4.75,4.75,9.2
19005620,7.6,8.75,7,7.25,5.5,9.2
19005621,8.4,5.25,6.5,6.25,5.5,5.8
19005622,8.4,6.5,5.5,4,5.5,8.4
19005626,6.4,7.5,5,3.75,4.5,4.8
19005627,8.6,6.75,6,7,5,4.6
19005630,8.8,6.75,8.25,5.25,4.5,10
19005631,7.6,6.25,7.5,3.5,3.25,9.2
19005632,8,6,8,5.5,6,9.4
19005633,8,5.5,8.75,8.25,5.75,6.4
19005634,8.6,5.5,7,5.75,4.75,6.4
19005635,7.6,6,7.75,3.75,5.75,9.8
19005637,8.4,5.5,6.75,5.75,2.5,8.4
19005638,4.6,4.5,3.5,4,4.5,5
19005641,6,5.5,6,7.25,4.5,6.4
19005643,8.6,6.25,8.25,8,3.5,7.8
19005644,8.2,6,5.5,3.5,6,7.4
19005645,9,7.75,6.75,5,3.5,8.8
19005646,8.2,6.75,8.25,7.75,8,9.4
19005648,9,8.5,8.5,6.25,6.25,9.6
19005649,8.6,8.25,7.5,7.25,4.25,5.8
19005650,9.2,7.25,7.5,8.75,8.5,7.4
19005651,9.4,8,7.25,8.25,4.5,8.6
19005653,9,6.5,7.5,3.75,5.75,9
19005654,7.2,7.25,6.75,7.75,6,8.2
19005656,9,4.25,7.75,7.75,4.75,5.4
19005657,9,6.75,8.75,7.75,3.75,7.4
19005658,8.8,6.5,6.25,8.5,3.5,8.4
19005659,7.8,6.75,7.5,7,6,9.4
19005661,9.4,6.75,8,10,6.5,6
19005663,8.6,6.75,8.5,8.5,6.75,9.4
19005664,8,5.5,6.5,5,5,7
19005665,9,5.75,7.75,8.25,4.25,6.4
19005666,9,7.25,7.75,8.25,6.25,8.2
19005669,9.2,8,8.25,8,4.5,7
19005671,8.6,6.25,8.25,8,7,6.8
19005672,8.8,4.75,7.75,7.75,3.75,7.6
19005673,7.6,7,7.5,6.25,5.75,9.8
19005674,8.4,6.75,8.25,6,3.5,9
19005675,7.6,6.25,7,4.75,3.75,9.4
19005677,7,5.75,5.75,6.75,5.5,7
19005678,7.4,6.25,6.75,6.5,5.5,4.4
19005679,8,4.5,7,6.5,3.75,7.4
19005684,7,3,5.5,5.5,5.75,7.4
19005685,8.8,6.75,8.25,7,4.75,9.2
19005686,7.6,7.75,7.25,8,5.25,8.4
19005688,8,6.5,6.75,4,4.75,9.2
19005689,9.4,8.25,8.5,4.5,6,10
19005690,8.6,6.25,6.5,8.75,5.25,9.2
19005692,9.4,5.25,9,9,5.75,7.8
19005693,9,6,6.25,7.75,3.75,4.8
19005694,8,6.5,8,8.75,4.25,7.6
19005695,7.4,7.5,5.25,4.75,3.75,8.8
19005696,6.4,4.5,5.25,4.75,4.5,9.4
19005698,6,6.5,7.5,5.5,4,9.2
19005699,8.8,6,7.75,7.25,4.25,7
19005700,8.6,6.25,8.5,8.25,6.5,8.8
19005701,6.4,7.75,6.75,5.25,4.25,8
19005702,7,7,7.25,8.5,4.75,7.8
19005703,8.4,8.25,8.5,8.25,6.25,7.2
19005704,8.4,5,8.25,8,5,7.2
19005705,8.4,7.5,8.25,6.25,5,6
19005706,9,7,9,8.75,6.75,9
19005707,9.2,7.25,8.25,7.75,7.75,9.6
19005708,7.8,7.75,6,8.25,6,8.4
19005709,6.6,5.25,6.75,6.75,3,8.8
19005710,8.2,7.75,7.75,8.5,5,7
19005711,8.8,7.75,8.5,6.75,8,9.8
19005712,9.6,7.75,9.5,9,6.5,8.6
19005713,9.8,6.75,8,8.75,5.25,6
19005715,7,6.75,7.25,4.75,5.25,8.6
19005719,7.8,7.75,6.25,5.5,7.75,8.8
19005720,9.4,8,6.5,9.5,8,5.6
19005722,9.4,6,8.5,7.75,4,7.6
19005724,7.8,8.75,7.75,6.5,7.25,9.4
19005725,6.8,7.75,6.5,6,6.5,7.8
19005727,8.8,8.25,4,5.75,4.5,7
19005728,8.6,5,8,9,3.5,3
19005729,8.6,6.5,8,9.5,4,3.2
19005731,9.4,6,8.75,10,4,7
19005732,6.6,8.25,5.75,3.75,4.75,8.4
19005734,8.4,8,8,4.5,6.25,8.4
19005736,7.6,7.75,6.75,7,4.75,5.6
19005739,6.8,5.75,7,2.75,4.5,7.2
19005741,5.2,7.75,5.25,6,5,4.6
19005742,7.4,7.75,8,7,5.5,7.8
19005743,8.2,8.75,8,3.75,3.5,9.6
19005745,9.4,6.5,8.75,9.5,6,8.6
19005746,8.4,5,7.75,2.5,4.25,8.4
19005747,8.4,6.75,8,5,3.75,5.2
19005748,8.6,6.75,7.75,9,4.75,9.6
19005749,8.6,5,7.5,4,5,8.6
19005751,8.2,8.75,4.5,5.5,4.75,9.4
19005752,9.2,7,7.75,9.5,7.75,6.8
19005753,8.6,4,7.25,8,3.5,5.2
19005755,9.4,7,8.75,8.5,5.75,6.4
19005756,9,7.75,8.5,8.25,4.25,7
19005757,8.6,8,8.75,7,5,9.4
19005759,9.4,7,8.5,9.25,3.75,7
19005760,7,6.5,4.5,8,8.75,5.8
19005761,9,8.25,6.75,7,5.5,9
19005763,7.8,7,7,4,5,8.8
19005767,7.4,6.5,7.75,3.75,4,9
19005768,9.4,8,9,9.75,4.5,7.4
19005769,8.8,7.25,7.75,8.25,8,7.4
19005770,8.6,7,7.75,7.75,4.25,3.6
19005772,9,7.5,8.5,8.75,7.75,9.6
19005774,8.4,8.25,7,7.25,5,5.8
19005777,7.6,6.75,6,5,3.75,8
19005780,8.6,5.5,8.25,8,3.75,5.4
19005782,8.4,7.75,7,4.5,4.75,9.2
19005785,8.4,7.25,7.75,6.25,6.25,9.2
19005786,4,5,5,3,4.25,5
19005787,8.6,7.5,8,4.75,5,10
19005788,9,7,8.5,9,4.25,9.4
19005792,9.2,8,9.25,9,4.75,8.4
19005793,9.2,8,7.75,8.5,3.25,8
19005794,8.4,7.75,8.25,8.75,5.5,8.8
19005797,8.8,8,8,7,4,9.4
19005801,7.4,8.25,7.25,3.5,5,9
19005805,9,6.5,8,8.25,4.75,9.2
19005807,9,8,7.25,8,5.75,6.2
19005808,8.4,7.5,8,8.5,6,6.4
19005809,8.6,8.25,7.25,8.25,5.25,9
19005811,7.8,7,8,8.75,4.75,5.4
19005812,8.6,8.5,5.25,4.75,5.5,9.2
19005813,9,5.75,7.25,7.25,4,8.8
19005814,7.2,6.5,7,5,3.75,8
19005815,8.4,7.25,6,6.5,4.25,4.6
19005816,6.4,6.25,5.75,6,3,5.8
19005819,8,4,5.75,7.25,9,4.2
19005820,7.2,5,7.25,3,3.5,8.6
19005821,8.8,6.75,6.75,4,4,8.8
19005822,8.8,4.75,7.25,8.25,4.5,2.6
19005827,8.4,7.25,5.75,7,5,6.2
19005829,8.2,7.5,7.25,7.25,5.75,8.4
19005830,8.8,6.75,8,7.75,5.5,7.4
19005832,7.4,7.5,7.5,6,5,7.4
19005833,8.4,7,7.25,6,5.25,8.8
19005834,9.4,6.25,6.75,8.25,9.25,8.8
19005835,8.4,7.25,7.25,7.75,5,8.6
19005836,7.2,7.75,4.75,5.5,4.25,8.6
19005837,8.8,7.5,8.25,7.5,6.25,8.2
19005838,8.2,4,6.75,4.75,5.5,7.6
19005839,8.6,4.75,9,5.5,5.5,9.8
19005842,7,4.5,6.5,6.25,5.25,8.6
19005843,8.2,5.5,5.75,7,7,8.2
19005844,8.4,7.25,8.5,6.25,6.25,9.6
19005845,8.4,8.75,8.25,5,6,9.2
19005846,8.6,7.5,6.5,9,8.75,7
19005848,8.4,7.75,5.5,6,4,8.8
19005850,8.6,6.75,8.75,9.25,5,7.2
19005852,9.6,7,8.5,8,6.25,8.4
19005854,9,6.75,8,8.25,5.25,8.2
19005855,9,7.75,8.25,6.75,4.75,9
19005858,8.2,7.5,8.5,4.25,3.75,9
19005859,8.8,9,6.75,6.25,6.5,8.6
19005860,8.4,7.75,7,7,4.75,8.2
19005861,6.2,6.25,5.25,6.5,3.75,8.6
19005866,9.2,5.75,7.25,8.5,4.5,8.6
19005867,8,6,7,7.75,5.25,5.8
19005868,8.2,7.25,7,7.5,5.5,8.8
19005869,8.2,7.75,6.75,5.5,4.5,8.8
19005871,8.4,7.75,7.5,8.5,5,6.4
19005872,8,5.5,8,5.75,4.75,9.4
19005873,8.4,7.75,6.25,7,4.75,5.8
19005875,9.2,8,6.25,5.75,4.75,9.8
19005877,8.2,6.5,8,8.25,7,6.2
19005878,8.8,7.25,7.75,7.75,4.5,8.4
19005879,8.4,5.25,8.5,7.25,5,7.6
19005882,7.4,7.25,7.5,6.5,3.75,6.4
19005885,8.6,6,7.75,6.75,4,9.8
19005886,7.6,6.25,8.75,4.25,3,10
19005891,8.8,6.25,8,4.75,4.75,10
19005896,8.2,5,8.5,4,5,9
19005899,8.2,6.75,8,8,5.5,9.4
19005903,7.4,5.75,7.5,2,5.25,8.4
19005905,7.8,7,6.75,4,3.5,8
19005906,7.6,8.5,7.75,7.5,4.75,6.2
19005909,8.8,4,8.25,6.75,4.75,9.6
19005910,9.6,6.25,8.5,8.75,5.25,9.2
19005912,8.8,5,8.25,9,6,7
19005913,9,7,8,6,6.5,9
19005914,8.8,7,8,8.25,5.25,8.2
19005916,9,4.25,7.75,9,6.25,5.8
19005917,8.6,5.25,8.75,3.5,5.25,9.6
19005922,8,7,7,3.75,3.5,9.2
19005923,8.6,6.25,8.5,7,5.75,9.8
19005924,8.8,6.5,8.5,7.25,6,9.6
19005926,8.8,8,4.75,3.75,5,9
19005929,8,6.75,7.25,4.75,4.5,9.4
19005932,7.2,6.25,5.5,8,4.75,5.2
19005937,7.4,4,6.75,3.5,2.75,8.6
19005938,8.8,5,8.5,7.25,3,7
19005939,7.6,6.75,7.75,4.75,6.25,9.2
19005941,8.2,5.5,5.75,4.75,4,8.2
19005942,9.2,7.25,7,8,5,8.4
19005943,6.2,7,7.25,4.5,5,7.6
19005944,9.2,7.75,8.5,8.25,4.25,7.4
19005945,8.6,6.5,8,8.25,5.75,8.4
19005947,8.4,7,8.5,8.25,5,6.8
19005948,8.2,7,6.25,5.5,5.25,9.6
19005950,9.4,7.25,7.75,7.75,4.75,9.6
19005952,8.8,8,8.5,7.75,7.5,9.6
19005953,8.4,6.75,8.5,7.25,6.75,7.2
19005954,8,6.5,7.5,7.75,5.25,9
19005961,8.6,6.25,6.75,6.25,5,8.4
19005962,8.2,7.5,7.5,5,4,5.6
19005963,9.4,4.5,7,8.5,4,6.6
19005965,8,6.5,7.5,6.5,6,7.4
19005966,8.2,6,5.5,2.5,4.5,8.4
19005970,7,6.5,5.75,5.25,3.5,5.4
19005976,8.4,6.75,8.5,9.25,6,5.8
19005977,8.2,7.5,7,7.25,6.75,9.2
19005978,9.4,6,7.75,7.5,3.25,3.2
19005983,8,7,7.75,5.25,5.5,9.2
19005984,9.2,5.5,7.75,8.5,5.75,6.2
19005987,9,6.75,8.25,5.25,5.75,9.2
19005988,5.6,4.5,6.25,5.25,3,5.2
19005990,9.8,8,8,9.5,9.5,6.6
19005993,8.8,6,9,7,8,9.8
19005995,9.4,7.5,9,8.25,7.5,9.6
19005996,9,6.25,8,5.25,5.75,9.6
19005997,8.2,7.5,6.25,3.75,6,8.8
19006002,9,8,8.25,8.25,9,9
19006004,8.6,8,5,9,8.25,6.6
19006006,8.2,7.25,7,7.75,3,2.8
19006007,7.6,7,8,6.5,3.25,8.4
19006009,8.2,7.25,8.25,3.75,3.75,8.2
19006010,9,8.25,8,7.75,5.5,8.4
19006011,9.2,8.75,9,9,6.75,8.8
19006012,8,7.5,8,8.25,5.5,4
19006013,8.8,7.5,7.5,8,3.25,4.8
19006015,8.2,7,6.75,7.75,2.75,5.8
19006016,8.6,6.25,7.5,4.5,5.25,6.8
19006018,7.4,8.5,5,7,5.5,8.4
19006019,8.6,8,7.5,8.5,4.5,6
19006020,8.6,8,7.5,8.75,9.25,7.4
19006021,9.2,6.5,8.5,8.25,5.5,7.4
19006023,7.8,7.25,7.5,4.25,4.75,9
19006024,9,4.75,8.75,8.5,5.75,6
19006025,8.2,6.25,8,8.25,6.75,7.8
19006026,8.6,5.75,7.5,7.75,5.5,7.6
19006027,8.6,7.5,7.5,5.75,6.25,9.2
19006028,7.8,7.5,7.25,6.5,4.25,8.2
19006029,8.8,6.75,7.75,8,5.75,6.2
19006030,8,7.5,7.75,5,5.75,8.8
19006032,8.6,7.5,4.75,5,3.75,9
19006034,9.2,7,8,6.5,6.25,9.2
19006036,8.6,5.75,7.75,5.5,6,9.4
19006037,7.4,6.75,7.5,8,3,4.8
19006039,8.4,6.75,9,5.75,4.25,9
19006041,8,5,7.5,3.75,5,9.4
19006042,8.2,8.75,8.75,9,4.25,7.2
19006043,8.8,6.5,9.25,4.75,5,8.8
19006044,7.4,5,6,5.25,6.75,8
19006046,9.4,8,7.5,7.75,3.75,8.6
19006047,9.2,6.5,7.25,4.5,5.25,9.4
19006048,8.8,5.5,7,6.25,5.5,9.2
19006049,8.2,7.75,7.25,7.75,5.75,8.8
19006050,7.8,6.75,6.5,5.5,4.75,5.4
19006053,9,5.75,7,4.75,5.25,9.4
19006054,8.4,6.5,8.5,5.5,4.25,10
19006057,8.4,7,8.25,5.25,3.5,9
19006058,9.2,7.5,5.5,7,5.5,9.6
19006060,8.2,9,7,6,5.25,9.4
19006062,8.6,7.75,5.5,5.25,4.75,8.4
19006063,8.4,8.75,6.5,6.75,4.75,9.4
19006067,8.8,8.5,5.75,8,9.75,9.4
19006068,8.2,8.25,8.25,6.25,6.75,9.8
19006072,8.2,8.5,7.25,7.75,4,5
19006074,6.8,7,5.75,3.5,3,9.6
19006076,8,7.25,7,4.75,4.75,9.6
19006077,8.2,6.75,6,2.75,4,7.4
19006078,9,9,7.5,6.75,4.5,9.8
19006079,8,6,4.75,5,3,7.4
19006081,7,6,5,3.75,4.25,8.6
19006082,8.6,5,5,8,7,6.6
19006083,7.6,7,7,6,5,9.6
19006084,9,6.5,7.5,7,3.25,7.2
19006085,9,6.5,6.75,8.75,4,9.8
19006086,8,6,5.5,7,5.25,6.8
19006090,8.6,5,7,7,4.25,9
19006092,9.2,5,8.5,5.5,4,9.6
19006095,8,6.75,8.5,6,5.5,9.8
19006096,8.6,6,7.25,5.25,4.25,9.6
19006097,9,5.5,8.75,9,4.25,9.2
19006098,8.8,6.25,8,6.75,5.75,6
19006099,7.8,6.5,8,8.5,4.75,5.2
19006101,9.2,8,8.25,9.25,6.25,9.4
19006102,8.4,5.5,8.25,4.25,6.25,10
19006103,8.8,6.5,8.25,8.25,6.25,9
19006105,9.4,8.75,6.75,6,5.25,9.6
19006106,5.2,5,5.5,3,3.75,4.4
19006107,8.6,8,7.25,7.75,4,6.8
19006108,8,7.25,8.25,8.25,8,8
19006109,8.6,8.75,5.5,6.25,5,8.2
19006112,8.4,4.75,6.75,5,5,7.2
19006113,7.8,6.25,7.25,6.25,4.5,6.4
19006114,8.4,7.75,7.25,5.75,5.25,8.4
19006116,8.2,7.25,8.25,6.75,6.75,9.6
19006117,9.4,7,9,9.25,5.25,9
19006119,7.6,7,5,5.25,4,7.2
19006120,9,6,9,6.75,6.25,9.8
19006120,9,6,9,6.75,6.25,9.8
19006123,8.8,5,8.25,8,4.75,8.6
19006126,7.8,8.75,6.5,4.25,5.75,9.6
19006128,8.8,7,8.5,7.75,3.75,3.8
19006130,8.6,7.5,7.25,6.25,6.25,8.4
19006131,8.6,6.25,8,7,5,6
19006137,8,7.5,7.75,4.5,4.75,3.6
19006138,8.4,4.75,7.5,4.5,4,9.6
19006141,7.8,7,8,8.5,4.5,6.8
19006142,8.6,7.5,6.5,6.75,4.75,7.2
19006146,7.4,6,7,4.75,4.25,4.2
19006149,7,7,6.75,4.5,4.75,6.4
19006151,8.6,6.25,8.75,7.75,3.5,5.4
19006152,7.4,6.75,6.5,2.5,4.25,5.2
19006167,7.6,7,5.75,5.75,4.25,5.4
19006172,8,6.5,5.25,6.75,1,5
19006173,8.8,7,9.25,8.75,6.5,7.4
19006177,7.2,6,6.75,3.25,3.25,4.4
19006181,8.4,8,7,6,4.5,7.2
19006183,7.8,3.75,8.5,2.75,7,5
19006194,9.2,4.25,8,7.5,4.75,3
19006197,8.4,5.25,7.75,6.25,5.75,6.8
19006198,8.4,7.75,6,6.75,2.75,2.4
19006203,9,6.25,8,8,4.75,5.2
19006204,7,6.75,6.75,4.25,3.5,3.2
19006208,9.6,5.75,8.75,6.25,6,6.4
19006210,8.6,7,8,7.5,3.5,5
19006212,8.2,7.25,7.5,2.5,5.25,8.8
19006213,8.6,6.5,8.75,6.75,7,4.2
19006216,8.8,5.5,7.75,4.5,6,8.2
19006217,8,6.25,7.75,8,5,5.6
19006220,8.2,6.25,7.25,7.5,4.25,5
19006223,8.2,6.5,8.25,7.75,2.75,5.8
19006225,8.4,5.25,7.5,8.5,2,2.6
19006227,9.6,6.25,8,8.25,6,4
19006229,8.8,7.5,8.25,8.25,7.5,5.8
